File	Order	Title
jess201.pdf	189	Development
jess201.pdf	190	What Development Promises — Different People, Different Goals
jess201.pdf	191	Income and Other Goals
jess201.pdf	192	National Development
jess201.pdf	193	How to Compare Different Countries or States?
jess201.pdf	194	Income and Other Criteria
jess201.pdf	195	Public Facilities
jess201.pdf	196	Human Development Report
jess201.pdf	197	Activity 3
jess201.pdf	198	Sustainability of Development
jess201.pdf	199	Example 1: Groundwater in India
jess201.pdf	200	Example 2: Exhaustion of Natural Resources
jess202.pdf	201	Sectors of the Indian Economy
jess202.pdf	202	Sectors of Economic Activities
jess202.pdf	203	Comparing the Three Sectors
jess202.pdf	204	Historical Change in Sectors
jess202.pdf	205	Primary, Secondary and Tertiary Sectors in India
jess202.pdf	206	Rising Importance of the Tertiary Sector in Production
jess202.pdf	207	Where are most of the people employed?
jess202.pdf	208	How to Create More Employment?
jess202.pdf	209	Division of Sectors as Organised and Unorganised
jess202.pdf	210	How to Protect Workers in the Unorganised Sector?
jess202.pdf	211	Sectors in Terms of Ownership: Public and Private Sectors
jess203.pdf	212	Money and Credit
jess203.pdf	213	Money as a Medium of Exchange
jess203.pdf	214	Currency
jess203.pdf	215	Deposits with Banks
jess203.pdf	216	Modern Forms of Money
jess203.pdf	217	Cheque Payments
jess203.pdf	218	Loan Activities of Banks
jess203.pdf	219	Two Different Credit Situations
jess203.pdf	220	Festival Season
jess203.pdf	221	Swapna’s Problem
jess203.pdf	222	Terms of Credit
jess203.pdf	223	A House Loan
jess203.pdf	224	Variety of Credit Arrangements
jess203.pdf	225	Example of a Village
jess203.pdf	226	Loans from Cooperatives
jess203.pdf	227	Formal Sector Credit in India
jess203.pdf	228	Formal and Informal Credit: Who gets what?
jess203.pdf	229	Self-Help Groups for the Poor
jess203.pdf	230	Grameen Bank of Bangladesh
jess204.pdf	231	Globalisation and the Indian Economy
jess204.pdf	232	Production Across Countries
jess204.pdf	233	Spreading of Production by an MNC
jess204.pdf	234	Interlinking Production Across Countries
jess204.pdf	235	Foreign Trade and Integration of Markets
jess204.pdf	236	Chinese Toys in India
jess204.pdf	237	What is Globalisation?
jess204.pdf	238	Factors that have Enabled Globalisation
jess204.pdf	239	Technology
jess204.pdf	240	Using IT in Globalisation
jess204.pdf	241	Liberalisation of Foreign Trade and Foreign Investment Policy
jess204.pdf	242	World Trade Organisation
jess204.pdf	243	Debate on Trade Practices
jess204.pdf	244	Impact of Globalisation in India
jess204.pdf	245	Steps to Attract Foreign Investment
jess204.pdf	246	Rising Competition
jess204.pdf	247	Small Producers: Compete or Perish
jess204.pdf	248	Competition and Uncertain Employment
jess204.pdf	249	A Garment Worker
jess204.pdf	250	The Struggle for a Fair Globalisation
jess204.pdf	251	Summing Up
jess205.pdf	252	Consumer Rights
jess205.pdf	253	The Consumer in the Marketplace
jess205.pdf	254	Consumer Movement
jess205.pdf	255	Consumers International
jess205.pdf	256	Safety is Everyone’s Right
jess205.pdf	257	Reji’s Suffering
jess205.pdf	258	Consumer Rights
jess205.pdf	259	Information about Goods and Services
jess205.pdf	260	Waiting...
jess205.pdf	261	When Choice is Denied
jess205.pdf	262	A Refund
jess205.pdf	263	Where Should Consumers Go to Get Justice?
jess205.pdf	264	Learning to Become Well-Informed Consumers
jess205.pdf	265	ISI and Agmark
jess205.pdf	266	Taking the Consumer Movement Forward
jess205.pdf	267	Exercises
jess205.pdf	268	Additional Projects / Activities
jess205.pdf	269	Appendix 1: Body Mass Index for Adolescent Girls (Age 14-18)
jess205.pdf	270	Appendix 2: Body Mass Index for Adolescent Boys (Age 14-18)
jess205.pdf	271	Suggested Readings
jess205.pdf	272	Books
jess205.pdf	273	Government Publications
jess205.pdf	274	Other Reports
