File	Order	Title
jess101.pdf	55	Resources and Development
jess101.pdf	55b	Resources and Development
jess101.pdf	56	Development of Resources
jess101.pdf	57	Sustainable development
jess101.pdf	58	Rio de Janeiro Earth Summit, 1992
jess101.pdf	59	Agenda 21
jess101.pdf	60	Resource Planning
jess101.pdf	61	Conservation of Resources
jess101.pdf	62	Resource Planning in India
jess101.pdf	63	Land Resources
jess101.pdf	64	Land Utilisation
jess101.pdf	65	Land Use Pattern in India
jess101.pdf	66	Land Degradation and Conservation Measures
jess101.pdf	67	Soil as a Resource
jess101.pdf	68	Classification of Soils
jess101.pdf	69	Alluvial Soils
jess101.pdf	70	Black Soil
jess101.pdf	71	Red and Yellow Soils
jess101.pdf	72	Laterite Soil
jess101.pdf	73	Arid Soils
jess101.pdf	74	Forest Soils
jess101.pdf	75	Soil Erosion and Soil Conservation
jess102.pdf	76	Forest and Wildlife Resources
jess102.pdf	76b	Forest and Wildlife Resources
jess102.pdf	77	Flora and Fauna in India
jess102.pdf	78	Conservation of Forest and Wildlife in India
jess102.pdf	79	Project Tiger
jess102.pdf	80	Reserved Forests
jess102.pdf	81	Protected Forests
jess102.pdf	82	Unclassed Forests
jess102.pdf	83	Types and Distribution of Forest and Wildlife Resources
jess102.pdf	84	Community and Conservation
jess102.pdf	85	Sacred groves - a wealth of diverse and rare species
jess103.pdf	87	Water Resources
jess103.pdf	87b	Water Resources
jess103.pdf	88	Water Scarcity and the Need for Water Conservation and Management
jess103.pdf	90	Hydraulic Structures in Ancient India
jess103.pdf	91	Rainwater Harvesting
jess103.pdf	92	Bamboo Drip Irrigation System
jess104.pdf	93	Agriculture
jess104.pdf	93b	Agriculture
jess104.pdf	94	Types of Farming
jess104.pdf	95	Primitive Subsistence Farming
jess104.pdf	96	Jhumming: The ‘slash and burn’ agriculture
jess104.pdf	97	Intensive Subsistence Farming
jess104.pdf	98	Commercial Farming
jess104.pdf	99	Cropping Pattern
jess104.pdf	100	Major Crops
jess104.pdf	101	Rice
jess104.pdf	102	Wheat
jess104.pdf	103	Millets
jess104.pdf	104	Maize
jess104.pdf	105	Pulses
jess104.pdf	106	Food Crops other than Grains
jess104.pdf	107	Sugarcane
jess104.pdf	108	Oil Seeds
jess104.pdf	109	Tea
jess104.pdf	110	Coffee
jess104.pdf	113	Rubber
jess104.pdf	114	Jute
jess104.pdf	115	Fibre Crops
jess104.pdf	116	Cotton
jess104.pdf	118	Bhoodan – Gramdan
jess105.pdf	119	Minerals and Energy Resources
jess105.pdf	119b	Minerals and Energy Resources
jess105.pdf	120	A bright smile from toothpaste and minerals
jess105.pdf	121	All living things need minerals
jess105.pdf	122	What is a mineral?
jess105.pdf	123	Study of Minerals by Geographers and Geologists
jess105.pdf	124	Mode of Occurrence of Minerals
jess105.pdf	125	Rat-Hole Mining
jess105.pdf	126	Ferrous Minerals
jess105.pdf	127	Iron Ore
jess105.pdf	128	Manganese
jess105.pdf	129	Non-Ferrous Minerals
jess105.pdf	130	Copper
jess105.pdf	131	Bauxite
jess105.pdf	132	Non-Metallic Minerals
jess105.pdf	133	Mica
jess105.pdf	134	Rock Minerals
jess105.pdf	135	Hazards of Mining
jess105.pdf	136	Conservation of Minerals
jess105.pdf	137	Energy Resources
jess105.pdf	138	Conventional Sources of Energy
jess105.pdf	139	Coal
jess105.pdf	140	Petroleum
jess105.pdf	141	Natural Gas
jess105.pdf	142	Electricity
jess105.pdf	143	Non-Conventional Sources of Energy
jess105.pdf	144	Nuclear or Atomic Energy
jess105.pdf	145	Solar Energy
jess105.pdf	146	Wind power
jess105.pdf	147	Biogas
jess105.pdf	148	Tidal Energy
jess105.pdf	149	Geo Thermal Energy
jess105.pdf	150	Conservation of Energy Resources
jess106.pdf	151	Manufacturing Industries
jess106.pdf	151b	Manufacturing Industries
jess106.pdf	152	Importance of Manufacturing
jess106.pdf	153	Classification of Industries
jess106.pdf	154	Agro-based Industries
jess106.pdf	155	Textile Industry
jess106.pdf	156	Cotton Textiles
jess106.pdf	157	Jute Textiles
jess106.pdf	158	Mineral-based Industries
jess106.pdf	159	Iron and Steel Industry
jess106.pdf	160	Sugar Industry
jess106.pdf	161	Aluminium Smelting
jess106.pdf	162	Chemical Industries
jess106.pdf	163	Fertilizer Industry
jess106.pdf	164	Cement Industry
jess106.pdf	165	Automobile Industry
jess106.pdf	166	Information Technology and Electronics Industry
jess106.pdf	167	Industrial Pollution and Environmental Degradation
jess106.pdf	168	Control of Environmental Degradation
jess106.pdf	169	NTPC shows the way
jess107.pdf	170	Lifelines of National Economy
jess107.pdf	170b	Lifelines of National Economy
jess107.pdf	171	Transport
jess107.pdf	172	Roadways
jess107.pdf	173	Golden Quadrilateral Super Highways
jess107.pdf	174	National Highways
jess107.pdf	175	State Highways
jess107.pdf	176	District Roads
jess107.pdf	177	Other Roads
jess107.pdf	178	Border Roads
jess107.pdf	179	Railways
jess107.pdf	180	Pipelines
jess107.pdf	181	Waterways
jess107.pdf	182	Major Sea Ports
jess107.pdf	184	Regional Connectivity Scheme (RCS) – UDAN
jess107.pdf	185	Communication
jess107.pdf	186	International Trade
jess107.pdf	187	Digital India
jess107.pdf	188	Tourism as a Trade
