File	Order	Title
jess301.pdf	1	The Rise of Nationalism in Europe
jess301.pdf	2	1 The French Revolution and the Idea of the Nation
jess301.pdf	3	2 The Making of Nationalism in Europe
jess301.pdf	4	2.1 The Aristocracy and the New Middle Class
jess301.pdf	5	2.2 What did Liberal Nationalism Stand for?
jess301.pdf	6	2.3 A New Conservatism after 1815
jess301.pdf	7	2.4 The Revolutionaries
jess301.pdf	8	3 The Age of Revolutions: 1830-1848
jess301.pdf	9	3.1 The Romantic Imagination and National Feeling
jess301.pdf	10	3.2 Hunger, Hardship and Popular Revolt
jess301.pdf	11	3.3 1848: The Revolution of the Liberals
jess301.pdf	12	4 The Making of Germany and Italy
jess301.pdf	13	4.1 Germany – Can the Army be the Architect of a Nation?
jess301.pdf	14	4.2 Italy Unified
jess301.pdf	15	4.3 The Strange Case of Britain
jess301.pdf	16	5 Visualising the Nation
jess301.pdf	17	6 Nationalism and Imperialism
jess302.pdf	18	Nationalism in India
jess302.pdf	19	1 The First World War, Khilafat and Non-Cooperation
jess302.pdf	20	1.1 The Idea of Satyagraha
jess302.pdf	21	1.2 The Rowlatt Act
jess302.pdf	22	1.3 Why Non-cooperation?
jess302.pdf	23	2 Differing Strands within the Movement
jess302.pdf	24	2.1 The Movement in the Towns
jess302.pdf	25	2.2 Rebellion in the Countryside
jess302.pdf	26	2.3 Swaraj in the Plantations
jess302.pdf	27	3 Towards Civil Disobedience
jess302.pdf	28	3.1 The Salt March and the Civil Disobedience Movement
jess302.pdf	29	3.2 How Participants saw the Movement
jess302.pdf	30	3.3 The Limits of Civil Disobedience
jess302.pdf	31	4 The Sense of Collective Belonging
jess303.pdf	32	The Making of a Global World
jess303.pdf	33	1 The Pre-modern World
jess303.pdf	34	1.1 Silk Routes Link the World
jess303.pdf	35	1.2 Food Travels: Spaghetti and Potato
jess303.pdf	36	1.3 Conquest, Disease and Trade
jess303.pdf	37	2 The Nineteenth Century (1815-1914)
jess303.pdf	38	2.1 A World Economy Takes Shape
jess303.pdf	39	2.2 Role of Technology
jess303.pdf	40	2.3 Late nineteenth-century Colonialism
jess303.pdf	41	2.4 Rinderpest, or the Cattle Plague
jess303.pdf	42	2.4 Indentured Labour Migration from India
jess303.pdf	43	2.5 Indian Entrepreneurs Abroad
jess303.pdf	44	2.6 Indian Trade, Colonialism and the Global System
jess303.pdf	45	3 The Inter-war Economy
jess303.pdf	46	3.1 Wartime Transformations
jess303.pdf	47	3.2 Post-war Recovery
jess303.pdf	48	3.3 Rise of Mass Production and Consumption
jess303.pdf	49	3.4 The Great Depression
jess303.pdf	50	3.5 India and the Great Depression
jess303.pdf	51	4 Rebuilding a World Economy: The Post-war Era
jess303.pdf	52	4.1 Post-war Settlement and the Bretton Woods Institutions
jess303.pdf	53	4.2 The Early Post-war Years
jess303.pdf	54	4.3 Decolonisation and Independence
jess303.pdf	55	4.4 End of Bretton Woods and the Beginning of ‘Globalisation’
jess304.pdf	56	The Age of Industrialisation
jess304.pdf	57	1 Before the Industrial Revolution
jess304.pdf	58	1.1 The Coming Up of the Factory
jess304.pdf	59	1.2 The Pace of Industrial Change
jess304.pdf	60	2 Hand Labour and Steam Power
jess304.pdf	61	3 Industrialisation in the Colonies
jess304.pdf	62	3.1 The Age of Indian Textiles
jess304.pdf	63	3.2 What Happened to Weavers?
jess304.pdf	64	3.3 Manchester Comes to India
jess304.pdf	65	4 Factories Come Up
jess304.pdf	66	4.1 The Early Entrepreneurs
jess304.pdf	67	4.2 Where Did the Workers Come From?
jess304.pdf	68	5 The Peculiarities of Industrial Growth
jess304.pdf	69	5.1 Small-scale Industries Predominate
jess304.pdf	70	6 Market for Goods
jess305.pdf	71	Print Culture and the Modern World
jess305.pdf	72	1 The First Printed Books
jess305.pdf	73	1.1 Print in Japan
jess305.pdf	74	2 Print Comes to Europe
jess305.pdf	75	2.1 Gutenberg and the Printing Press
jess305.pdf	76	3 The Print Revolution and Its Impact
jess305.pdf	77	3.1 A New Reading Public
jess305.pdf	78	3.2 Religious Debates and the Fear of Print
jess305.pdf	79	3.3 Print and Dissent
jess305.pdf	80	4 The Reading Mania
jess305.pdf	81	4.1 ‘Tremble, therefore, tyrants of the world!’
jess305.pdf	82	4.2 Print Culture and the French Revolution
jess305.pdf	83	5 The Nineteenth Century
jess305.pdf	84	5.1 Children, Women and Workers
jess305.pdf	85	5.2 Further Innovations
jess305.pdf	86	6 India and the World of Print
jess305.pdf	87	6.1 Manuscripts Before the Age of Print
jess305.pdf	88	6.2 Print Comes to India
jess305.pdf	89	7 Religious Reform and Public Debates
jess305.pdf	90	8 New Forms of Publication
jess305.pdf	91	8.1 Women and Print
jess305.pdf	92	8.2 Print and the Poor People
