File	Order	Title
jemh101.pdf	1	Real Numbers
jemh101.pdf	2	The Fundamental Theorem of Arithmetic
jemh101.pdf	3	Revisiting Irrational Numbers
jemh102.pdf	4	Polynomials
jemh102.pdf	5	Geometrical Meaning of the Zeroes of a Polynomial
jemh102.pdf	6	Relationship between Zeroes and Coefficients of a Polynomial
jemh103.pdf	7	Pair of Linear Equations in Two Variables
jemh103.pdf	8	Graphical Method of Solution of a Pair of Linear Equations
jemh103.pdf	9	Algebraic Methods of Solving a Pair of Linear Equations
jemh103.pdf	10	Substitution Method
jemh103.pdf	11	Elimination Method
jemh104.pdf	12	Quadratic Equations
jemh104.pdf	13	Solution of a Quadratic Equation by Factorisation
jemh104.pdf	14	Nature of Roots
jemh105.pdf	15	Arithmetic Progressions
jemh105.pdf	16	nth Term of an AP
jemh105.pdf	17	Sum of First n Terms of an AP
File	Order	Title
jemh106.pdf	18	Triangles
jemh106.pdf	19	Similar Figures
jemh106.pdf	20	Similarity of Triangles
jemh106.pdf	21	Criteria for Similarity of Triangles
jemh107.pdf	22	Coordinate Geometry
jemh107.pdf	23	Distance Formula
jemh107.pdf	24	Section Formula
jemh108.pdf	25	Introduction to Trigonometry
jemh108.pdf	26	Trigonometric Ratios
jemh108.pdf	27	Trigonometric Ratios of Some Specific Angles
jemh108.pdf	28	Trigonometric Ratios of 45°
jemh108.pdf	29	Trigonometric Ratios of 30° and 60°
jemh108.pdf	30	Trigonometric Ratios of 0° and 90°
jemh108.pdf	31	Trigonometric Identities
jemh109.pdf	32	Some Applications of Trigonometry
jemh109.pdf	33	Heights and Distances
jemh110.pdf	34	Circles
jemh110.pdf	35	Tangent to a Circle
jemh111.pdf	37	Areas Related to Circles
jemh111.pdf	38	Areas of Sector and Segment of a Circle
jemh112.pdf	39	Surface Areas and Volumes
jemh112.pdf	40	Surface Area of a Combination of Solids
jemh112.pdf	41	Volume of a Combination of Solids
jemh113.pdf	42	Statistics
jemh113.pdf	43	Mean of Grouped Data
jemh113.pdf	44	Mode of Grouped Data
jemh113.pdf	45	Median of Grouped Data
jemh114.pdf	46	Probability
jemh114.pdf	47	Probability — A Theoretical Approach
